label;Area(cm^2);W/L;Patiole Length(mm);Number of Pairs;Ratio
1;43.4;0.485;5;22;66
1;40;0.454;5;16;62.5
1;35.1;0.439;5;17;60
1;50.1;0.442;5;18;59
1;40.3;0.463;5;19;60
1;43;0.447;5;22;63
1;38.5;0.471;4;16;58
1;46.5;0.4;5;19;63
1;42.1;0.388;5;18;61
1;49.5;0.483;5;24;59.5
1;34.2;0.349;6;20;68.5
1;40.4;0.35;7;19;62.5
1;46.5;0.4;5;19;63
1;28.5;0.388;6;19;68
1;28;0.388;3;21;65.5
1;31.3;0.402;6;21;62
1;29.5;0.346;6;17;57
1;26.2;0.327;5;18;64
1;30.6;0.352;5;17;59.5
1;38.9;0.353;6;17;63
1;40.5;0.32;6;19;65.5
1;39;0.393;8;21;68
1;42.5;0.414;5;19;63.5
1;46.8;0.431;5;19;64
1;51.5;0.416;8;18;64.5
1;52.5;0.355;8;21;64
1;38;0.368;6;19;64
1;40.1;0.405;7;18;64.5
1;38.4;0.385;7;17;61
1;36.8;0.348;8;23;62.5
1;40.4;0.35;7;19;62.5
1;52.5;0.355;8;21;64
1;46.5;0.4;5;19;63
1;40;0.454;5;16;62.5
1;50.1;0.442;5;18;59
1;40.3;0.463;5;19;60
1;28;0.388;3;21;65.5
1;46.5;0.4;5;19;63
1;40.3;0.463;5;19;60
1;46.5;0.4;5;19;63
2;48.5;0.653;11;17;59.5
2;52.5;0.535;10;13;59
2;60.5;0.605;13;13;57
2;48.4;0.626;11;14;61
2;58.8;0.58;12;15;57
2;61.5;0.611;13;16;56
2;66.5;0.602;14;17;62.5
2;52.6;0.637;12;17;56.5
2;68.2;0.516;14;16;58.5
2;58.5;0.526;12;13;62
2;41.8;0.52;5;16;62.5
2;34.3;0.391;6;20;61
2;67;0.474;9.5;18;61
2;58.1;0.446;7;19;58.5
2;54.5;0.405;7;20;59
2;66.5;0.516;8;16;61.5
2;56;0.472;8;15;64
2;54.2;0.522;6;14;58.5
2;54.3;0.422;7.5;17;63
2;64.6;0.437;9;17;56
2;47.5;0.496;8;18;63.6
2;55;0.409;7;17;61.95
2;54.3;0.407;8;16;59.35
2;40.3;0.504;6;13;53.7
2;50;0.442;11;18;52
2;52.4;0.469;10;17;61.5
2;48;0.435;10;17;52.7
2;48.2;0.492;9;15;56.6
2;46;0.486;11;16;55
2;49.8;0.491;8;17;56
2;54.4;0.475;10;15;54.8
2;48.2;0.415;6;19;60.5
2;51.8;0.507;7;11;57.5
2;44.5;0.448;9;14;57.5
2;48.4;0.5;5;15;56
2;54.6;0.484;11;18;59.5
2;48;0.407;14;20;62
2;54.8;0.386;8;15;59.5
2;50;0.365;9;20;51
2;52.4;0.507;7;12;52.5
3;84;0.552;20;15;64
3;68;0.607;19;14;58.5
3;69;0.558;15;15;62.5
3;73;0.547;20;12;57
3;70;0.592;17;14;53.5
3;70;0.525;19;15;60.5
3;71;0.564;20;13;61.5
3;68;0.622;17;13;57.5
3;75;0.609;21;15;61.5
3;67;0.535;18;15;60
3;68;0.559;20;15;59.5
3;76;0.549;19;15;57
3;65;0.581;20;16;56.5
3;62;0.588;18;18;57.5
3;64;0.573;19;15;55.5
3;60;0.544;20;16;57.5
3;70;0.552;21;15;63.5
3;65;0.579;21;16;59.5
3;60;0.594;17;14;57
3;78;0.58;20;15;59
3;70;0.592;17;15;60.5
3;65;0.598;17;14;56.5
3;67;0.582;16;15;56
3;64;0.567;19;14;57.5
3;75;0.606;16;15;51.5
3;84;0.593;22;15;56.5
3;66;0.566;15;13;54.5
3;56;0.588;16;14;58
3;55;0.556;19;13;58
3;63;0.585;16;14;56
3;82;0.566;16;12;47.5
3;57;0.516;11;12;52
3;78;0.598;15;12;49.5
3;66;0.583;18;15;53.5
3;76;0.55;17;14;54.5
3;88;0.622;13;13;58.5
3;68;0.563;19;14;56.5
3;87;0.517;18;15;55
3;78;0.587;17;13;53.5
3;79;0.556;13;14;56.5
